"number","name","atlas_reference_count","coverage_status","centroid_munsell"
69,"Deep Orange Yellow",18,"REPRESENTED","9.0YR 6.0/12.1"
70,"Light Orange Yellow",8,"REPRESENTED","9.0YR 8.6/8.1"
71,"Moderate Orange Yellow",32,"REPRESENTED","9.0YR 7.2/8.1"
72,"Dark Orange Yellow",24,"REPRESENTED","9.0YR 6.0/8.1"
73,"Pale Orange Yellow",29,"REPRESENTED","9.1YR 8.6/4.4"
74,"Strong Yellowish Brown",57,"REPRESENTED","9.0YR 4.6/9.6"
75,"Deep Yellowish Brown",5,"REPRESENTED","9.5YR 2.9/6"
76,"Light Yellowish Brown",37,"REPRESENTED","9.2YR 6.6/4.7"
77,"Moderate Yellowish Brown",24,"REPRESENTED","9.5YR 4.5/4.0"
78,"Dark Yellowish Brown",25,"REPRESENTED","9.5YR 2.2/3.7"
79,"Light Grayish Yellowish Brown",17,"REPRESENTED","9.5YR 6.4/2.4"
80,"Grayish Yellowish Brown",19,"REPRESENTED","9.5YR 4.6/2.1"
81,"Dark Grayish Yellow Brown",23,"REPRESENTED","9.5YR 2.4/1.8"
82,"Vivid Yellow",71,"REPRESENTED","4.0Y 7.8/14.5"
83,"Brilliant Yellow",15,"REPRESENTED","4.0Y 8.8/9.5"
84,"Strong Yellow",36,"REPRESENTED","4.0Y 7.2/9.5"
85,"Deep Yellow",23,"REPRESENTED","4.0Y 6.0/9.5"
86,"Light Yellow",20,"REPRESENTED","4.0Y 8.8/6.6"
87,"Moderate Yellow",36,"REPRESENTED","4.0Y 7.2/6.6"
88,"Dark Yellow",25,"REPRESENTED","4.0Y 6.0/6.6"
89,"Pale Yellow",28,"REPRESENTED","4.2Y 8.9/3.6"
90,"Grayish Yellow",44,"REPRESENTED","4.2Y 7.2/3.6"
91,"Dark Grayish Yellow",16,"REPRESENTED","4.0Y 6.0/4.1"
92,"Yellowish White",24,"REPRESENTED","4.1Y 9.2/1.3"
93,"Yellowish Gray",59,"REPRESENTED","4.1Y 7.5/1.3"
94,"Light Olive Brown",48,"REPRESENTED","2.5Y 5.0/8.4"
95,"Moderate Olive Brown",58,"REPRESENTED","2.5Y 3.5/6"
96,"Dark Olive Brown",21,"REPRESENTED","2.5Y 1.8/2.5"
97,"Vivid Greenish Yellow",48,"REPRESENTED","9.5Y 7.8/14.5"
98,"Brilliant Greenish Yellow",17,"REPRESENTED","9.5Y 8.8/9.5"
99,"Strong Greenish Yellow",24,"REPRESENTED","9.5Y 7.2/9.5"
100,"Deep Greenish Yellow",16,"REPRESENTED","9.5Y 6.0/9.5"
101,"Light Greenish Yellow",18,"REPRESENTED","9.5Y 8.8/6.6"
102,"Moderate Greenish Yellow",27,"REPRESENTED","9.5Y 7.2/6.6"
103,"Dark Greenish Yellow",18,"REPRESENTED","9.5Y 6.0/6.6"
104,"Pale Greenish Yellow",15,"REPRESENTED","9.5Y 8.9/4.1"
105,"Grayish Greenish Yellow",24,"REPRESENTED","9.5Y 7.2/4.1"
106,"Light Olive",95,"REPRESENTED","8.1Y 5.1/8.0"
107,"Moderate Olive",88,"REPRESENTED","8.0Y 3.5/5.8"
108,"Dark Olive",16,"REPRESENTED","8.0Y 1.7/3.2"
109,"Light Grayish Olive",37,"REPRESENTED","8.3Y 5.5/2.4"
110,"Grayish Olive",46,"REPRESENTED","8.1Y 3.5/2.3"
111,"Dark Grayish Olive",31,"REPRESENTED","8.0Y 2.0/2.0"
112,"Light Olive Gray",22,"REPRESENTED","7.4Y 5.5/1.3"
113,"Olive Gray",36,"REPRESENTED","8.1Y 3.5/1.0"
114,"Olive Black",11,"REPRESENTED","9.0Y 0.9/0.8"
115,"Vivid Yellow Green",113,"REPRESENTED","5.0GY 7.5/14.5"
116,"Brilliant Yellow Green",53,"REPRESENTED","5.0GY 8.5/9.1"
